stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
"317-01","","種差小学校前","","40.514125","141.604783","Z317-01","","0","","","",""
"537-01","","深久保","","40.514776","141.600857","Z537-01","","0","","","",""
"313-01","","館越","","40.514712","141.595569","Z313-01","","0","","","",""
"242-01","","白浜","","40.515441","141.591037","Z242-01","","0","","","",""
"202-01","","妻ノ神","","40.516576","141.587077","Z202-01","","0","","","",""
"28-01","","姥懐","","40.518476","141.584003","Z28-01","","0","","","",""
"31-01","","扇ヶ浦","","40.519785","141.575582","Z31-01","","0","","","",""
"423-01","","西小沢","","40.520487","141.571150","Z423-01","","0","","","",""
"613-03","","岬台団地北口","","40.521959","141.565187","Z613-03","","0","","","",""
"525-01","","東ヶ丘","","40.522879","141.557969","Z525-01","","0","","","",""
"514-01","","八森","","40.523607","141.555693","Z514-01","","0","","","",""
"266-03","","砂森","","40.524594","141.551642","Z266-03","","0","","","",""
"242-02","","白浜","","40.515517","141.591210","Z242-02","","0","","","",""
"307-01","","高岩","","40.498479","141.619975","Z307-01","","0","","","",""
"636-01","","南浜中学校前","","40.495606","141.623632","Z636-01","","0","","","",""
"32-01","","大久喜","","40.493951","141.626534","Z32-01","","0","","","",""
"226-01","","下大久喜","","40.491455","141.628521","Z226-01","","0","","","",""
"111-01","","金浜","","40.480352","141.635569","Z111-01","","0","","","",""
"113-01","","金浜口","","40.478623","141.639457","Z113-01","","0","","","",""
"112-01","","金浜駅前","","40.476498","141.637533","Z112-01","","0","","","",""
"120-01","","上金浜","","40.475471","141.628139","Z120-01","","0","","","",""
"114-01","","金浜小学校前","","40.476431","141.620968","Z114-01","","0","","","",""
"222-04","","四本松","","40.505820","141.529875","Z222-04","","0","","","",""
"216-03","","重地","","40.501051","141.523922","Z216-03","","0","","","",""
"139-02","","北高校前","","40.512166","141.545731","Z139-02","","0","","","",""
"34-02","","大久保通","","40.513028","141.549267","Z34-02","","0","","","",""
"249-02","","白銀台西口","","40.514206","141.554522","Z249-02","","0","","","",""
"250-02","","白銀台郵便局前","","40.514661","141.556278","Z250-02","","0","","","",""
"248-02","","白銀台団地","","40.515422","141.559218","Z248-02","","0","","","",""
"614-02","","岬台団地西口","","40.517475","141.562589","Z614-02","","0","","","",""
"615-02","","岬台団地入口","","40.518764","141.564067","Z615-02","","0","","","",""
"612-01","","岬台団地","","40.518485","141.566055","Z612-01","","0","","","",""
"615-01","","岬台団地入口","","40.518853","141.563689","Z615-01","","0","","","",""
"535-01","","平庭","","40.503012","141.563739","Z535-01","","0","","","",""
"118-01","","上大久保","","40.505760","141.556480","Z118-01","","0","","","",""
"526-01","","東給食センター","","40.507724","141.555020","Z526-01","","0","","","",""
"610-01","","松美ヶ丘","","40.509591","141.552961","Z610-01","","0","","","",""
"33-01","","大久保","","40.511765","141.550740","Z33-01","","0","","","",""
"225-04","","鍛冶町","","40.506852","141.492082","Z225-04","","0","","","",""
"314-04","","館花下","","40.511769","141.502917","Z314-04","","0","","","",""
"116-02","","蟇平","","40.513607","141.508594","Z116-02","","0","","","",""
"144-02","","北青葉","","40.514317","141.511697","Z144-02","","0","","","",""
"267-02","","諏訪","","40.516442","141.516809","Z267-02","","0","","","",""
